artist,track,lyrics,esa_vector
Ken Carson,Jennifer’s Body,"138 ContributorsTranslationsPortugusJennifers Body Lyrics Fuck  Two things I ain't ever seen A nigga that beat a gun and a bitch I need If I go broke, I'm takin' your funds, yeah, bitch, I need it Gave you the whole book on how to get rich and you ain't even read it Jennifer's Body, my bitch is a hottie, my bitch is a boy eater She don't even want no food, this dick the only thing I feed her This bitch a thot, ain't no way, huh, I'ma keep her I made a hunnid K in a hunnid ways, 'cause that's what I keep it Keep it a hunnid  I go dumb 'bout my money And my trap jump like bungee Flew her out to the Saint, I ain't talkin' Laurent This ain't no facade, baby girl, I don't do no stunts You know I came far, huh, huh, I ain't have nothin' I ain't had shit lil' bitch, my pockets had lint and dust Now I put that shit on every day, bitch, it's a must He ain't puttin' shit on, he just wanna dress like us That's why I'm fuckin' on his ho, I'm makin' her cuss I'm all in that bitch throat, huh, I'm 'bout to bust These niggas, huh, gettin' old, these niggas get rusty I was on the south side of Atlanta with Lil 88, that's my cousin They ask me why I'm clutchin', 'cause them niggas over there muggin' Diamonds on my teeth, lil' bitch, I ain't smilin' for nothin' VV-VV-VV's on my body and I know they bustin' CC, BB, GG on her body, uh, that's my slut Two things I ain't ever seen, a nigga that wont die and a bitch that I ain't gon' fuck  Two things I ain't ever seen A nigga that beat a gun and a bitch I need If I go broke, I'm takin' your funds, yeah, bitch, I need it Gave you the whole book on how to get rich and you ain't even read it Jennifer's Body, my bitch is a hottie, my bitch is a boy eater She don't even want no food, this dick the only thing I feed her This bitch a thot, ain't no way, huh, I'ma keep her I made a hundred K in a hundred ways, 'cause that's what I keep it Keep it a hunnid","[[0.0, 0.01027543932362264, 0.0, 0.010065506803982972, 0.004232410438556995, 0.0, 0.006097330559663605, 0.006302721624224469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000780790400577429, 0.0, 0.0, 0.0009487820928244137, 0.0029706052128956584, 0.0023981119749132648, 0.0033134009497548774, 0.015457359921710765, 0.0, 0.004160780657024044, 0.006154057332218885, 0.0, 0.0, 0.00836076967247763, 0.0017916948476647697, 0.0, 0.015846175293705574, 0.0, 0.01766939271511685, 0.006195626690874555, 0.0, 0.002550619738448025, 0.01082657790073086, 0.0034541001811557856, 0.0, 0.0, 0.0038926202854738185, 0.0, 0.004763406224294861, 0.011053696019795943, 0.0, 0.0, 0.010815148878198181, 0.0, 0.0, 0.0, 0.006485155896468092, 0.0, 0.005696797810655306, 0.0, 0.0029554389570620385, 0.0, 0.00814249080406746, 0.0, 0.0, 0.010439677251224492, 0.0, 0.006568875950083225, 0.0, 0.0, 0.008837952060374328, 0.0, 0.0, 0.0, 0.012213242066003842, 0.0, 0.01388414424316404, 0.0, 0.003980949515874778, 0.0, 0.0, 0.004538200423474819]]"
Ken Carson,overseas,"111 ContributorsTranslationsPortugusEspaoloverseas Lyrics London, Paris, Amsterdam, yeah, I'm overseas She gon' suck my soul out me, yeah, she on her knees Inhale, exhale, yeah, breathe 12 ask me, ""What's that smell?"" Yeah, weed I ain't leavin' no paper trail, yeah, this shit free Overlapped them niggas, hell yeah, I'm in the lead You ain't nothin' like me, you don't bleed what I bleed Put the blick down, I'll beat yo' ass just like Creed  She don't know nothin' 'bout me, I'm 'bout to turn her to a freak My dick her Nyquil, I'm 'bout to fuck this bitch to sleep I'm the reason you got double B on yo' feet Ain't gotta ask if I'm good, I'm Gucci, yeah, I'm doubl G I wish I could go back in time to tell myself, ""Your nck gon' freeze"" I wish I could go back in time to tell myself, ""Don't change a thing"" I wish I could go back in time to meet you way before I did I wish I could go back in time to tell myself, ""You gon' be rich"" When I'm in Miami, I feel like LeBron, number 6 Every day I wake up, I'm feelin' myself like Bey and Nicki I just bit her, yeah, I just bit her, I gave her a hick' I take her shoppin' all the time, but that's my girl so I ain't trippin' I'm in London, I just left Harrods and Selfridges That boy repeat everything he hear like a parrot, he a bitch The last bitch I broke up with slit her wrist I'm trollin', I just treat her like she no longer exists  London, Paris, Amsterdam, yeah, I'm overseas She gon' suck my soul out me, yeah, she on her knees Inhale, exhale, yeah, breathe 12 ask me, ""What's that smell?"" Yeah, weed I ain't leavin' no paper trail, yeah, this shit free Overlapped them niggas, hell yeah, I'm in the lead You ain't nothin' like me, you don't bleed what I bleed Put the blick down, I'll beat yo' ass just like Creed","[[0.0, 0.021081650715609745, 0.0009479820035104624, 0.010001038916969138, 0.0006644619075144406, 0.0017467409880361528, 0.002856735788759557, 0.0, 0.005506949369330331, 0.0, 0.0, 0.0, 0.004189430879365836, 0.005435514296054223, 0.0, 0.0, 0.00202170478259719, 0.0, 0.002978548519063482, 0.0006568287195592603, 0.020569863975370695, 0.003153875991932385, 0.004585978661135636, 0.01403509913660303, 0.0, 0.0, 0.0019487626359374506, 0.0, 0.0, 0.0031363295186201084, 0.004415106482810629, 0.003855894014564428, 0.014727291352077785, 0.0, 0.01127977923691787, 0.00523873092548665, 0.0031959089862867284, 0.004003239822245993, 0.0, 0.006967101365950755, 0.0, 0.0067013374053684245, 0.009522348816658319, 0.0011733766285773638, 0.0010978324033847253, 0.006768210759127552, 0.0, 0.006396619877545473, 0.0, 0.002943676948503025, 0.004686581288302126, 0.012517926455195033, 0.0, 0.0, 0.0021684465031012634, 0.010605056293391152, 0.0, 0.0, 0.005258236568931378, 0.0, 0.011523486963982107, 0.0034248645709874016, 0.0, 0.005427508039374185, 0.002311219522325233, 0.0, 0.0, 0.0015486987161527962, 0.0015056291782108643, 0.0, 0.0, 0.013602334093979195, 0.0027489357872743556, 0.0, 0.008746472103786903]]"
Ken Carson,Fighting My Demons,"120 ContributorsTranslationsDeutschPortugusFighting My Demons Lyrics  Where the fuck my blunt? Where the fuck my cup? Where the fuck my reef?  Huh, huh, huh, huh, huh, huh I'm smokin' on Kush Huh, huh, huh, huh, huh, huh I'm smokin' on Kush Huh, huh, huh, huh, huh, huh You know I'm a chiefer Huh, huh, huh, huh, huh, huh You know I'm a chiefer I'm flyin' just like a eagle Bitch cryin', I don't need her .45, long heater Hellcat big, two-seater This bitch said she was hungry, this dick what I feed her I'm on the block servin' entrees, yeah, three-fives a reefer Yeah, yeah, you know I'ma keep 'em Huh, huh, and I be chiefin' All these hoes some eaters, huh, huh, they be eatin' Cut the lights off, we gon' pull up creepin' We got four sticks, we four deep, in the four-door Jeep My boy trigger finger itchin', leave your brains on the seat My trigger finger itchin', I feel like D-Wade with the Heat Made him do the runnin' man, we sent some runnin' shots at his feet I pop X, I pop X, yeah, yeah, I'm geeked She pop X, she pop X, yeah, yeah, she sleep Cullinan Rolls Royce, I'm 'bout to pull up to a meet Let's play Russian roulette, bitch, who gon' die first? You or me?  You or me? (Let's play Russian roulette, bitch, who gon' die first?) You or me? You or me? (Let's play Russian roulette, bitch, who gon' die first, you or me?) (Yeah)   (star made the beat, I just took it out the oven) Yeah  I been fighting my demons, huh I been fighting my, yeah I been fighting my demons, huh I been fighting my, yeah I been fighting my demons, huh I been fighting my, huh I been fighting my demons, huh I been fighting my, huh, huh I been fighting my demons, yeah I been fighting my, huh, huh I been fighting my demons, yeah I been fighting my, yeah I been fighting my demons, yeah I been fighting my, huh I been fighting my demons, huh-yeah","[[0.0, 0.0009254782489406765, 0.0, 0.0031080241770544094, 0.00010449741978491036, 0.00024157982213892753, 0.00020139080188467758, 0.005304943393911138, 0.00011392728109408434, 0.0, 0.0, 0.00015073376058823593, 0.0, 0.00032595799070116036, 0.0, 0.0, 0.0, 0.00015403612889731104, 0.0022131678058371343, 0.0, 0.00013435490613863745, 0.0, 0.004558850769810535, 0.0, 0.0, 0.0, 0.00011846830021588938, 0.0, 0.0, 0.0, 0.0, 0.0004785231044519294, 0.00041004489951641885, 0.0, 0.00022438671913896257, 0.0023864043741469334, 0.0, 0.0, 0.0, 0.0019187273260623285, 0.0, 0.0007168599869251563, 0.0, 0.00016231201414413686, 0.0, 0.0, 0.00029584054342601064, 0.0, 0.0032358526416779495, 8.589932499428724e-05, 0.00017075086362091727, 0.0002997416117443981, 0.0, 0.0001977987127244471, 0.0001061237933847001, 0.0025726116305505083, 0.0004676037288146274, 0.0, 0.0004975022925322057, 0.00014346927901956818, 0.0006676552230850713, 0.0, 0.0, 0.0002471966307207571, 0.00029577715676891214, 0.0, 0.0, 0.0, 0.0, 0.0002998250591554731, 0.0, 0.0005068850369111834, 0.00010202011307617417, 0.0004772081590808367, 0.00013847971987325877]]"
Ken Carson,ss,"19 ContributorsTranslationsRomanizationEnglish (Dancing) Lyrics    ,      ,       ,      ,   ,        ,        ,    ,    ,   ,     ,      ,     ?  ,      ?  ,  ,     ,         ,     ,            ,    ,     ,      ,       ,      ,   ,        ,        ,        ,   ,     ,      ,       ?  ,      ?  ,      ,       ,   , , ,    ,                    ,      ,       ,      ,   ,        ,        ,        ,        ,       ,   ,     ,","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007030333283714166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006339669886178473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
Ken Carson,i need u,"24 ContributorsTranslationsItalianoEspaolFranaisChinese TraditionalRomanizationBTS - I NEED U (English Translation) Lyrics Fall (Everything) Fall (Everything) Fall (Everything) It scatters Fall (Everything) Fall (Everything) Fall (Everything) It's all falling  My life's ruined all because of you I'm done, I don't want you anymore I can't take it, I don't give a shit So please, your excuse won't even work You can't do this to me Everything you said, it's just to cover your fault Just cover up the truth and tear me apart You spear me, make me go nuts, I hate it all Take it all back with you, I hate you so bad  But you're my everything (You're my) Everything (You're my) Everything (You're my) Please get out of my life, huh I'm sorry (I hate you) I love you (I hate you) Forgive me (Shit)  I need you, girl Why do I love you and try to forget you When I know you don't care? I need you, girl Why do I need you when I know it hurts me?  I need you, girl (You're beautiful) I need you, girl (But you're so cold) I need you, girl (I need you, girl) I need you, girl (I need you, girl)   It goes round and round, why do I keep coming back? I go down and down, it feels like I'm a fool No matter what I try, there's nothing I can do It's my heart, my mind and my soul, but they don't listen to me Oh well, I'm just talking to myself again (Talking to myself again) I'm just talking to myself again (Talking to myself again) But you don't say a word, please, I'll do better The sky is blue again (It's blue again)  Maybe it's because the sky is blue, and the sun is shiny My tears show more Why am I so into you, why you? Why can't I let you go?  I need you, girl Why do I love you and try to forget you When I know you don't care? I need you, girl Why do I need you when I know it hurts me?  I need you, girl (You're beautiful) I need you, girl (You're so cold) I need you, girl (I need you, girl) I need you, girl (I need you, girl)  Girl, just tell me, just say we should break up Girl, just tell me it wasn't love, oh I have no courage to say that Give me my last gift So I can't ever go back to you, oh-oh  I need you, girl (Oh) Why do I love you and try to forget you (Oh, baby) When I know you don't care? I need you girl (Why?) Why do I need you when I know it hurts me?  I need you, girl (You're beautiful) I need you, girl (You're so cold) I need you, girl (I need you, girl) I need you, girl (I need you, girl)","[[0.022954572830874688, 0.03156701707050991, 0.002536308315875313, 0.0012811292579956305, 0.00811826510802865, 0.0010575797347450353, 0.0002973935163315219, 0.0003244484562385628, 0.0004099481958380929, 0.0, 0.0005354442602611685, 0.0033322131819755085, 0.0006267735280121059, 0.00226769218362473, 0.0, 0.02112733507744076, 0.0007848873467867116, 0.0014643774538760166, 0.009300185932818212, 0.0, 0.0015967081705118543, 0.00436830530601296, 0.005385975059510726, 0.003347736179623578, 0.0023786114828151794, 0.0, 0.0, 0.0, 0.001280816706311689, 0.00120386975746915, 0.002527447593999779, 0.020041057884361713, 0.0007350342220587309, 0.0, 0.0004911561835053064, 0.00032160272690604, 0.0, 0.000534314825950614, 0.0009570336658352902, 0.005454584562528793, 0.0007031385031959819, 0.0005319604839808071, 0.0, 0.0, 0.002411123448210482, 0.002922828280918659, 0.0, 0.0015247417051939209, 0.0, 0.00030910234013862924, 0.002910200785609669, 0.002105340541881659, 0.0, 0.0005479117487317355, 0.0015750251873459147, 0.0065256523363627335, 0.0, 0.0, 0.004723881127249165, 0.017520964786931707, 0.0026004711019342996, 0.0029462906431360525, 0.0, 0.007785355639835953, 0.0, 0.0, 0.0, 0.001199175005251911, 0.0005984320520905031, 0.03535481596808521, 0.0, 0.0016724096762514246, 0.001594022155552442, 0.0021575756781245974, 0.0012128503542577407]]"
Ken Carson,Paranoid,"105 ContributorsTranslationsNederlandsTrkeEspaolItalianoPortugusParanoid Lyrics Never know when someone come and try to take my life I've been sleepin' with the .45 like every night In the whip I pray to God I don't see flashin' lights God damn, they right behind me And I wake up everyday I wake up every day with this anxiety And they know where I stay Got ""Malone"" on my plates And they followin' me Two hundred bands under the floor of the kitchen A little more up in the walls and the ceilin' Even family and friends started switchin' Ever since I got that check, seen 'em itchin'  Eyes open, I see you, I'm watchin' you More people wanna be you, don't trust no one  Tell me why I can get no relief (I can't even sleep) Wonderin' when they'll come for me A paranoid man makes paranoid plans I do what I can, but it's out of my hands Strugglin' just to find my peace  Sometimes feel like I got no friends Can't trust a soul, like I'm Snowden Right by the bed, keep it loaded Lord have mercy if they broke in I don't ever sleep, yeah, I'm wide awake If you try to pull up to my place Beam is gonna hit you a mile away I promise, one of us gonna die today Helicopters in the sky No, he can't escape the eyes Politicians and the lies Tell me, what's the point in pickin' sides?  Tell me why I can get no relief (I can't even sleep) Wonderin' when they'll come for me A paranoid man makes paranoid plans I do what I can, but it's out of my hands Strugglin' just to find my peace  (Ayy) Mind is runnin' all day Cost me more than money and I'm payin' the price, yeah I ain't goin' nowhere Killin' myself so I can make me a life, yeah Minute after minute, never had a limit Woke up every mornin', knew that I just had to get it Windows always tinted, you ain't lookin' in it Either way, I know they'll come for me again  Tell me why I can get no relief (I can't even sleep) Wonderin' when they'll come for me A paranoid man makes paranoid plans I do what I can, but it's out of my hands Strugglin' just to find my peace","[[0.008761834383863968, 0.016560715402062054, 0.0006457148657563883, 0.00819788722508661, 0.008514697038074347, 0.0105805444997648, 0.00961779107582142, 0.0015008790900839526, 0.0025641431795888295, 0.0008540976473473347, 0.003349780673548958, 0.0, 0.03219047359278572, 0.010316892830687992, 0.006175672376103695, 0.0, 0.008876862140757448, 0.01091445193451897, 0.01173704108903431, 0.008728944612773903, 0.00717964449054355, 0.012637297660059076, 0.018414442109208423, 0.014680174532342228, 0.010784691239050069, 0.019188352602159127, 0.017478341245664993, 0.0, 0.014466031935678967, 0.01253189451334227, 0.011407783247310442, 0.003856852977480988, 0.013357559789836358, 0.0, 0.008609323369881565, 0.011456054456693156, 0.024151682953967534, 0.004072485298771947, 0.0037185758324529963, 0.0245488881754242, 0.011915691142140765, 0.040455378324500496, 0.013792910593240811, 0.0, 0.008051283444119822, 0.00972673317754126, 0.0, 0.001395511638989501, 0.0015340388916233667, 0.013396367820132836, 0.04410840959680553, 0.03142076971297564, 0.0, 0.02708397777975622, 0.0014519938468561585, 0.01917991206273724, 0.0, 0.0, 0.012075911904511242, 0.008232770742981866, 0.006812787017588891, 0.00874520328352399, 0.0, 0.006834136980168473, 0.0034360998640983946, 0.0, 0.04472856842991752, 0.0063066207306641114, 0.0013601322221284294, 0.0, 0.0, 0.07970454291492635, 0.004482788738881306, 0.0036536604856114503, 0.013193903778139615]]"
Ken Carson,mewtwo,"63 ContributorsTranslationsEspaolmewtwo Lyrics Yeah, if money was Cocoa Puffs, huh, I'd go cuckoo She said she feel the same way 'bout me, she delulu I caught her like a Pokmon, my bitch built like Mewtwo At first, we ain't really click, now you logged in on my Hulu I got you sideline at my shows, used to watch my shit on YouTube I'm your biggest fan, I support whatever you do I can teach you how to get those bands, but you gotta listen, yeah, hear what I'm sayin'  Don't trip if I go ghost, uh-huh, I'm workin', I'm locked in Don't trip if I don't post, I live my life on private Phone on silent I can feel the pressure, yeah, I'm 'bout to make a diamond She can feel the prssure, yeah, I'm beatin' out hr linin' Yeah, I'm gettin' violent You'd think I had her in submission, she tap out every time I'm just bein' honest, tellin' the truth, these niggas be lyin' I'ma show you real love, I ain't just gon' put you in designer Ain't no switchin' up, yeah, you forever mine This a dirty cup, yeah, I just poured four lines You just wanna celebrate, you don't wanna grind I work hard 'cause hard work beat talent, yeah, every time So I been in the studio all night From 12 a.m., to 12 p.m., 'bout to get my rhymes right It's about what you do when nobody lookin', fuck the limelight I ain't movin' dumb, I ain't tryna get booked, I don't need no crime fight  Yeah, if money was Cocoa Puffs, huh, I'd go cuckoo She said she feel the same way 'bout me, she delulu I caught her like a Pokmon, my bitch built like Mewtwo At first, we ain't really click, now you logged in on my Hulu I got you sideline at my shows, used to watch my shit on YouTube I'm your biggest fan, I support whatever you do I can teach you how to get those bands, but you gotta listen, yeah, hear what I'm sayin'","[[0.01800667734632075, 0.04880874933513526, 0.008772763654650238, 0.008541234418737375, 0.0047088073784958715, 0.02148990660444608, 0.0021890742860626883, 0.001955351953596665, 0.00571121543351375, 0.0030357335006944556, 0.004725743395278888, 0.002269793153236816, 0.007204276416893562, 0.022332987671676248, 0.0, 0.021018923935307864, 0.0019816181861208614, 0.007707111171538119, 0.009393987626527755, 0.0027628243894647405, 0.02307930574548137, 0.00414122611087455, 0.002895282535971891, 0.005529159320739144, 0.004127400326993251, 0.0, 0.006975602483376305, 0.0, 0.011273408368164352, 0.013184863469083057, 0.021813919170310114, 0.00574903881263893, 0.031924060052083335, 0.0, 0.009317212543116179, 0.011742069966901813, 0.008289303574420983, 0.004081494008805158, 0.0, 0.012975952798493178, 0.007749390727512541, 0.003886377995382199, 0.0, 0.0, 0.0033859688250416574, 0.006521112713505455, 0.0, 0.014408822118188147, 0.0, 0.009508401691735228, 0.010813017594789398, 0.014292080499190016, 0.0, 0.0029355460300921647, 0.01106472439042913, 0.017032201255367647, 0.025592738799622542, 0.0, 0.02167047381323179, 0.021534718816001015, 0.002208282350549994, 0.006432883460703819, 0.0, 0.010905562659609354, 0.0024270882506693477, 0.0, 0.0, 0.002218706094703279, 0.027936101627185864, 0.004932161257997627, 0.0, 0.015881631713346205, 0.00918229000719243, 0.017508842764519354, 0.010819162791841155]]"
Ken Carson,Succubus,"86 ContributorsTranslationsLietuviSuccubus Lyrics (Wake up) Yeah-ah, yeah-ah Yeah-ah, yeah, yeah, uh Yeah-ah My emo bitch like to slit her wrists, yeah, she's so dark She was moving too fast, I had to put that bitch in park She said Boy, don't start with me, but I already started How you let your ex drive you crazy, and he ain't got no car? Yeah-ah If there's a Heaven, this bitch going to Hell This bitch a succubus, she suck me, yeah Yeah-ah, yeah  I'm off the shits right now, these drugs got me talking sideways I can't control myself, I'm doing the opposite of what my mind say I can't find the exit, huh, huh, I'm on th highway But I just found a bitch that'll let me help hr, yeah, my way My way, that mean that bitch do whatever I say Bitch, I'm not Tom, but I need my space, my space, yeah Don't be afraid, if you wanna leave, don't let me get in your way If you wanna try something new, that's okay, that's okay Make your own decisions, I'm not phased Just like Lil Uzi, baby girl, my love is rage And I can fully understand if you can't deal with it Every time I switch time frames, I text a ho like, I'm in your city She wanna fuck me, I wanna fuck her, yeah-yeah-yeah-yeah-yeah, she with it I'm off the lean, she off the Casamigos and she 'bout to get it Shawty fell in love with my swag, and now she takin' off my Rick Why your ho starin' so hard? I'm 'bout to take off with your bitch These niggas be talking like Phineas, but I'm like Ferb, I don't say shit Yeah, I heard the word, but before I repeat it, I'ma forget it Raf Simons swag, the pants pleated, the sweater is knitted Every time she pop out, yeah, yeah, they know that's my bitch Every time I pop out, it's a party, yeah, it's lit  My emo bitch like to slit her wrists, yeah, she's so dark She was moving too fast, I had to put that bitch in park She said, Boy, don't start with me, but I already started How you let your ex drive you crazy, and he ain't got no car? Yeah-ah If there's a Heaven, this bitch goin' to Hell This bitch a succubus, she suck me, yeah Yeah-ah, yeah","[[0.012361363090010485, 0.03864104995980193, 0.0, 0.006054761928758831, 0.0024725605614536283, 0.0011197683269545615, 0.008085360726486222, 0.0, 0.0014682209633269736, 0.0019038010019003532, 0.0, 0.0032340973093348095, 0.01374491596240065, 0.002761365560657175, 0.0, 0.01300732114505564, 0.0012240339170876391, 0.0, 0.0054713780665572274, 0.0021284858731781186, 0.02095442835338234, 0.001648531807814853, 0.005219706369945939, 0.006470845627767282, 0.003099097412847269, 0.0016157090698789471, 0.017209561719690777, 0.0, 0.0, 0.0, 0.006676303445457947, 0.009265738993931093, 0.011986852725779236, 0.0, 0.00640279234039489, 0.019129409367350064, 0.002742198081068387, 0.004137872152113709, 0.004072740602078408, 0.005330139276041803, 0.0, 0.002258153198420021, 0.0, 0.0008523162469679417, 0.009717512592672447, 0.004315298941913887, 0.0, 0.002086935660345063, 0.0, 0.009671082059105406, 0.003530866686046465, 0.008695754898971718, 0.0, 0.001183522568463933, 0.00373444963255121, 0.01172804406228518, 0.019103495706928545, 0.0, 0.006238402626074451, 0.012686112192344846, 0.003767536300642068, 0.00392922443798234, 0.0, 0.00624587920396474, 0.0, 0.0, 0.0, 0.001790859882628337, 0.0006877595683856543, 0.001954292078456582, 0.0, 0.010112635376869544, 0.0030700045583530126, 0.010707387599455713, 0.0126597925784561]]"
Ken Carson,Singapore,"102 ContributorsTranslationsEnglishSingapore Lyrics (8-808) Huh, huh Huh, huh, huh, huh Huh, huh, huh, huh  Huh, huh, huh, huh, huh, huh, huh, huh Walk in Magic City with a hunnid, threw the whole thing I got rich before I turned 23, like LeBron James Copped the Bentley Mulsanne, yeah, just to switch lanes Copped the new SVJ, yeah, just to lose the brain I copped new jewels, this a Stephen Curry tennis chain Thirty-pointer every night, yeah, I'm in your bitch droppin' thirty-pointers Takin' flights, yeah, with your bitch, we in Singapore  I'm that type of nigga post your bitch, and you can't ignore Now when everybody see that bitch, they like, ""Oh, there go Ken Carson's whore"" Yeah, I get fly like a raven, but a nigga not in Baltimore When you talk to me, you talking to money because I'm a walking ATM Sold out tour, damn, they should've booked the stadium She like, ""Ain't you Ken Carson? Ain't you X?"" Hell yeah, that's him I got guns bigger than these niggas, I could never be scared of them He was talking real tough 'til a nigga shot that lead at him  I get higher than a UFO, bitch, I'm an alien I just got this ho from the Middle East, she Israelian I just made a hundred thousand, stuffed it in some raver pants Yeah, I just got a paper cut from countin' all this paper, man I come through, I'm dressed in all black like I was Satan, man I just make one call like Ken Nugent, ain't no savin' him And they like ""Lonely rich as fuck, I guess we should hate on him"" Huh, but I give no fucks, I'm overseas and I did Balenci' my jeans Huh, I called a brand new ho, she a freak, and she tryna eat my team Huh, Alex Moss just did my ring, I make her kiss my ring Yeah, she suck me clean, I make her spit just like Listerine Yeah, I pulled off in a Ghost, baby, like a mystery Huh, a real big dawg, you ain't seen nothin' as big as me They say they get as paid as me, but I agree to disagree Itchin', itchin' for that paper, huh, money come to me My trigger finger itchin' for a halo and I'm finna squeeze  Huh, huh, huh, huh, huh, huh, huh Walk in Magic City with a hunnid, threw the whole thing I got rich before I turned 23, like LeBron James Copped the Bentley Mulsanne, yeah, just to switch lanes Copped the new SVJ, yeah, just to lose the brain I copped new jewels, this a Stephen Curry tennis chain Thirty-pointer every night, yeah, I'm in your bitch droppin' thirty-pointers Takin' flights, yeah, with your bitch, we in Singapore","[[0.0, 0.015261415312136817, 0.001798235113533203, 0.006225221603036746, 0.0017128034065099307, 0.0009153404824521504, 0.019114732061613352, 0.0012573536001471838, 0.0, 0.0009880200151824545, 0.0007369578267610081, 0.001502216634154907, 0.0063427906025514775, 0.0018860317912873556, 0.0, 0.0, 0.0005907114757087869, 0.0, 0.0019839849866539034, 0.0007318682843154761, 0.0046186218829465985, 0.0, 0.0024495709423226764, 0.0, 0.0, 0.0027272193991339793, 0.0005098399337380617, 0.000675760594440929, 0.0, 0.006939599521770177, 0.008241550981714313, 0.0038911486203495895, 0.010269158878758365, 0.0, 0.005668905227073177, 0.00038598544274894903, 0.0036706789588061522, 0.0006414372659479342, 0.0, 0.005693402863872342, 0.0011055784029685685, 0.004130036064443956, 0.0019293902199052414, 0.0, 0.0, 0.00487542931076698, 0.004231497182146353, 0.0, 0.0, 0.0038149885802821197, 0.0004951431990240909, 0.014628152891072164, 0.002174006029055, 0.002749971543965578, 0.0003516751768212285, 0.006481210139409114, 0.0, 0.0, 0.0, 0.0020389009298360516, 0.0015792800985168361, 0.0014187038604190386, 0.0, 0.003509360355375664, 0.002414839965554595, 0.0, 0.0, 0.0018351740360454038, 0.00033316283648007045, 0.0, 0.0008555916444590709, 0.01109418124195737, 0.0006008850508895414, 0.0, 0.00427511949467734]]"
Ken Carson,Yale,"39 ContributorsTranslationsPortugusYale Lyrics Uh, I keep your ho upstairs When she wanna fuck, I just tell her, ""Ring the bell"" Hit her from the back, she can't do nothing but yell And she smart as fuck, I got this bitch straight out of Yale Yeah, yeah, yeah, yeah And you know I'm high as fuck, my eyes just red, but they was just pale If it's up, then nigga, it's stuck, don't come outside, not even for air Got a Glocky on my hip and I'll blow this bitch just like a ref' Yeah, yeah, yeah, yeah Niggas thinking this shit sweet 'til one of they partners disappear Give a fuck 'bout your mama crying, give a fuck 'bout that lil' bitch shedding tears Gotta keep the fire by your side because the opps is always near Yeah, yeah, yeah, yeah Double cup, ho, I sip lean, know all these old niggas sip beer All I do is just lead and all these lil' niggas just cheer 2020 my vision, but I swear this shit ain't been clear Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah","[[0.0, 0.0027405898715069797, 0.0018286642104653021, 0.0009422121261962002, 0.0090992736251906, 0.0, 0.007791503125183771, 0.0, 0.0033170276060148765, 0.0, 0.0, 0.0, 0.002681367600252628, 0.0019831113045236234, 0.0, 0.0, 0.000783244036462041, 0.0, 0.0008242334897491753, 0.0, 0.0, 0.0, 0.0012316977853192102, 0.0, 0.0, 0.0025401957402144642, 0.00202686825875149, 0.006284375984344615, 0.0, 0.0, 0.0, 0.0, 0.0022145253407325786, 0.0, 0.0011331026856409444, 0.0009707071131949607, 0.0, 0.004436473084113993, 0.0, 0.003962693003215566, 0.0024227743633853547, 0.002133260682066245, 0.0, 0.0, 0.0, 0.0017545709884522758, 0.0, 0.0, 0.0, 0.0010836358261227493, 0.0, 0.003093070292941219, 0.0, 0.0, 0.0, 0.004000114494873301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0015704900364755232, 0.0, 0.0, 0.0, 0.0011727894787756346, 0.0, 0.0019484123121209956, 0.0, 0.00294525966876697, 0.0011190064663915427, 0.0026221972233777075, 0.0006991305837346361]]"
