artist,track,lyrics
Jon Pardi,Dirt On My Boots,"17 ContributorsDirt On My Boots Lyrics Been up since the crack of dawn just tryna get paid Been hotter than a hundred suns, I can't find no shade Just two more rows and I'm good to go Yeah, I'm shuttin' this tractor down Give me a half an hour for a shave and a shower And I'll be outside your house  Might have a little dirt on my boots But I'm takin' you uptown tonight Might have a little mud on my wheels But they gonna shine with ya up inside Gonna hit the club, gonna cut a rug Burn it up like neon lights Might have a little dirt on my boots But we're gonna dance the dust right off them tonight (Yeah, girl) Got a little dirt on my boots  Hard as I worked all day, I'm gonna work harder lovin' on you Spin you all over that dance floor, right out of them high heeled shoes And when you're ready to quit Baby, we can slip right out of that barroom door And when I take you home, don't worry, babe I'm gonna kick 'em off on the porch  Might have a little dirt on my boots But I'm takin' you uptown tonight Might have a little mud on my wheels But they gonna shine with ya up inside Gonna hit the club, gonna cut a rug Burn it up like neon lights Might have a little dirt on my boots But we're gonna dance the dust right off them tonight (Yeah, girl) Got a little dirt on my boots (Uh)   A little dirty dancin' Blue collar romancin' I can get cleaned up, if you ask me But I can only get so fancy  Got a little dirt on my boots But I'm takin' you uptown tonight Might have a little mud on my wheels But they gonna shine with ya up inside Gonna hit the club, gonna cut a rug Burn it up like neon lights Might have a little dirt on my boots But we're gonna dance the dust right off them tonight (Yeah, girl) Got a little dirt on my boots Got a little dirt on my boots Got a little dirt on my boots"
Jon Pardi,Head Over Boots,"16 ContributorsHead Over Boots Lyrics I wanna sweep you off your feet tonight I wanna love you and hold you tight Spin you around on some old dance floor Act like we never met before for fun  'Cause you're the one I want You're the one I need Baby, if I was a king Ah, you would be my queen You're the rock in my roll You're good for my soul, it's true I'm head over boots for you  The way you sparkle like a diamond ring Maybe one day we can make it a thing Test time and grow old together Rock in our chairs and talk about the weather, yeah So, bring it on in for that angel kiss Put that feel good on my lips, cause  'Cause you're the one I want You're the one I need Baby, if I was a king Ah, you would be my queen You're the rock in my roll You're good for my soul, it's true I'm head over boots for you  Yeah, I'm here to pick you up And I hope I don't let you down, no  'Cause you're the one I want You're the one I need Baby, if I was a king Ah, you would be my queen You're the rock in my roll You're good for my soul, it's true I'm head over boots for you  'Cause you're the one I want You're the one I need Baby, if I was a king Ah, you would be my queen You're the rock in my roll You're good for my soul, it's true I'm head over boots for you  I wanna sweep you off your feet tonight I wanna love you and hold you tight Spin you around on some old dance floor"
Jon Pardi,Heartache On The Dance Floor,"12 ContributorsHeartache On The Dance Floor Lyrics Yeah, I was just hanging out Some little west coast town Found a bar out by the sand So I made my way in First thing that caught my eye Lke nothing I'd ever seen Sunburned auburn air The California dream Yeah, she was shaking them hips To some old motown song I couldn't say anything So I sang along  She was a heartache on the dance floor Yeah, she's moving through my mind I gotta know her name and I gotta see her again She's got me wondering, yeah I'm just wondering Where she at, where she at, where she at tonight? Where she at, where she at, where she at tonight?  So I just hung around This little west coast town I dropped by every night I stayed till closing time My little mystery That girl is killing me So I put on a song Just to sing along  She was a heartache on the dance floor Yeah, she's moving through my mind I gotta know her name and I gotta see her again She's got me wondering, yeah I'm just wondering Where she at, where she at, where she at tonight? Where she at, where she at, where she at tonight? She's got me mesmerized, she's all I'm thinking about All I think about, think about, think about  So I'm right here right now Humming this little song If I could say a thing I'd want you to know  You were a heartache on the dance floor Yeah, you're moving through my mind I gotta know your name and I gotta see you again And if you're listening, listening, listening Where you at, where you at, where you at tonight? Where you at, where you at, where you at tonight? Girl, I'm hanging around this little town Where you at, where you at, where you at tonight? Where you at, where you at, where you at tonight?"
Jon Pardi,Heartache Medication,"12 ContributorsHeartache Medication Lyrics Same old dive Same old end-of-the-work-week drink Bartender knows my name, but I don't mind She kicks 'em up strong, serves me up right  And here I go again, I'm drinkin' one, I'm drinkin' two I got my heartache medication, a strong dedication To gettin' over you, turnin' me loose On that hardwood jukebox lost in neon time My heartache medication, well, it suits me fine And I'm drinkin' enough to take you off my mind I got my heartache medication  Another girl Another dance to a country song Turnin' me on Here's to a good time and halfway to feelin' alright  And here I go again, I'm drinkin' one, I'm drinkin' two I got my heartache medication, a strong dedication To gettin' over you, turnin' me loose On that hardwood jukebox lost in neon time My heartache medication, well it suits me fine And I'm drinkin' enough to take you off my mind I got my heartache medication  Single, drinkin' doubles Teardrops turnin' into bubbles Yeah, a little later on I'll probably find me some trouble  And here I go again, I'm drinkin' one, I'm drinkin' two I got my heartache medication, a strong dedication To gettin' over you, turnin' me loose On that hardwood jukebox lost in neon time My heartache medication, well it suits me fine And I'm drinkin' enough to take you off my mind I got my heartache medication  Heartache medication takin' me away Oh whoa"
Jon Pardi,Night Shift,"58 ContributorsTranslationsEspaolNight Shift Lyrics The first time I tasted somebody else's spit, I had a coughing fit I mistakenly called them by your name I was let down, it wasn't the same I'm doing fine, trying to derail my one-track mind Regaining my self-worth in record time But I can't help but think of your other in the bed that was mine Am I a masochist, resisting urges to punch you in the teeth? Call you a bitch and leave? Why did I come here? To sit and watch you stare at your feet? What was the plan? Absolve your guilt and shake hands?  I feel no need to forgive, but I might as well But let me kiss your lips, so I know how it felt Pay for my coffee and leave before the sun goes down Walk for hours in the dark, feeling all hell  Don't hold your breath, forget you ever saw me at my best You don't deserve what you don't respect Don't deserve what you say you love and then neglect Now bite your tongue, it's too dangerous to fall so young Take back what you said Can't lose what you never had  I feel no need to forgive, but I might as well But let me kiss your lips, so I know how it felt Pay for my coffee and leave before the sun goes down Walk for hours in the dark, feeling all hell  You got a 9-to-5, so I'll take the night shift And I'll never see you again, if I can help it In five years, I hope the songs feel like covers Dedicated to new lovers  You got a 9-to-5, so I'll take the night shift And I'll never see you again, if I can help it In five years, I hope the songs feel like covers Dedicated to new lovers  You got a 9-to-5, so I'll take the night shift And I'll never see you again, if I can help it In five years, I hope the songs feel like covers Dedicated to new lovers"
Jon Pardi,Can’t Turn You Down,"6 ContributorsCant Turn You Down Lyrics You're like a highway to a rebel that's ready to run A no trespass sign on a barbwire jump That I can't resist, that's just the way it is You're a don't touch red button I want to push A bad for me that feels so good And we both know I can't say no  Cause a phone call turns into a what's up, what's up Turns into ""baby, can you pick me up?"" Hey, I'm downtown and I don't wanna go home After two left turns it's you and me alone Turns into tangled up on my couch with you Slipping your kisses right across my mouth And that turns into later on Later on, lights turned down Cause I can't turn you down  I could say that I ain't picking up next time I could say I don't want it, but I'd be lying Cause baby the truth is I want you And there ain't a damn thing I can do  A phone call turns into a what's up, what's up Turns into ""baby, can you pick me up?"" Hey, I'm downtown and I don't wanna go home After two left turns it's you and me alone Turns into tangled up on my couch with you Slipping your kisses right across my mouth And that turns into later on Later on, lights turned down Cause I can't turn you down  You're like my favorite song I can't turn you off  A phone call turns into a what's up, what's up Turns into ""baby, can you pick me up?"" Hey, I'm downtown and I don't wanna go home After two left turns it's you and me alone Turns into tangled up on my couch with you Slipping your kisses right across my mouth And that turns into later on Later on, lights turned down Cause I can't turn you down No, I can't turn you down Can't turn you down"
Jon Pardi,She Ain’t In It,"12 ContributorsShe Aint In It Lyrics Appreciate your call Means a lot and all Yeah, I got a minute You and me can talk About anything you want Long as she ain't in it  Say, it's been at least a month Since I've had any fun Buddy, I'll admit it Yeah, I'm into going out Think I'm ready for a crowd Long as she ain't in it  Don't wanna hear her name I don't wanna see her face, I swear I know it's gonna hurt If I run into her somewhere  We could hit that place Down by the interstate Out past the city limits Hang out all night long Hear a country song Long as she ain't in it  Don't wanna hear her name I don't wanna see her face, I swear I know it's gonna hurt If I run into her somewhere  I can drink and I can dance I can party, I can laugh But no matter how you spin it Everything has changed My life won't be the same As long as she ain't in it As long as she ain't in it No, mm"
Jon Pardi,Ain’t Always the Cowboy,"11 ContributorsAint Always the Cowboy Lyrics Her hands wrapped up in mine Tears rollin' out of her eyes No messin' with a made-up mind Sun settin' on goodbye Yeah, it's hard to believe It wasn't me tryin' to leave this time  It ain't always the cowboy That ain't got a lot of hang around Ain't got no settle down in their boots Gone's just what they do That restless running, searchin' for something Leavin' love in the dust of a midnight Chevrolet It ain't always the cowboy that rides away  I've never seen over from this side Never heard lonely get this quiet Still, I can't keep from smiling 'Cause, damn, that girl can fly  It ain't always the cowboy That ain't got a lot of hang around Ain't got no settle down in their boots Gone's just what they do That restless running, searchin' for something Leavin' love in the dust of a midnight Chevrolet It ain't always the cowboy that rides away  A tumbleweed heart chasin' that wind Goin' too far, wherever that is  It ain't always the cowboy That ain't got a lot of hang around Ain't got no settle down in their boots Gone's just what they do That restless running, searchin' for something Leavin' love in the dust of a midnight Chevrolet It ain't always the cowboy that rides away Rides away It ain't always the cowboy"
Jon Pardi,Tequila Little Time,"8 ContributorsTequila Little Time Lyrics Pardon me, I don't mean to pry I saw the tears falling from your eyes, and I thought You're too pretty not to wear a smile Hope you don't mind if I sit down for awhile  'Cause I want tequila little time with you A little salt and a lime will do Hey bar man, will you bring us two? I want tequila little time with you Talkin' it all out Seein' what you're all about I hope you're wantin' tequila little time with me too  We don't have to talk about the past Here's to moving forward and not looking back Little later, we can take it to the dance floor But until then, let's order a couple more  'Cause I want tequila little time with you A little salt and a lime will do Hey bar man, will you bring us two? I want tequila little time with you Talkin' it all out Seein' what you're all about I hope you're wantin' tequila little time with me too  It's good to see you laughin' I guess this had to happen Now let's just get to dancin'  'Cause I want tequila little time with you A little salt and a lime will do Hey bar man, will you bring us two? I want tequila little time with you Talkin' it all out Seein' what you're all about I hope you're wantin' tequila little time with me too  Hope you're wantin' tequila little time with me too Hope you're wantin' tequila little time with me too, oh"
Jon Pardi,Starlight,"104 ContributorsTranslationsDave - Starlight (Trke eviri)EspaolStarlight Lyrics uoy evol I, sdrow rehto nI uoy evol I, sdrow rehto nI  It's hard to hate on the truth I'm livin' in Nuff man hate with the lies instead Countin' cash with the phone to my ear I feel like Meek on a private jet Life or death, five-five Eyes, thighs, potential wifey Industry, respected highly In the street, protected  I do know my man, but I don't trust him Trust that, P's in the trap, disgustin' Stick with the stick, PVA, PDA, kiss that in public South London where I made my South London's where I made my first hundred Elastic bands, plastic bags, two and a blue like cheese and onion In Jamaica, quick vacation, travellin' my pastim Nuff pollution in the ends, I flew back yard cah I wanna see starlight Eritran, skin tone cinnamon, I think I found my princess My empress, still gonna impress I know dem man talk on the kid, but  It's hard to hate on the truth I'm livin' in Nuff man hate with the lies instead Countin' cash with the phone to my ear I feel like Meek on the private jet Life or death, five-five Eyes, thighs, potential wifey Industry, respected highly In the street, protected  Any girl that I'm datin' knows Bags that I buy come filled with fifties She a ten out of ten on a bad day Public affection, I tell her, ""Come kiss me"" I like mine obsessed, clingy If she don't miss me, miss me If she don't miss me, history If she don't miss me, it's a mystery G17 in the party, tipsy Don't drink, that's risky Focus, shells gonna land like Disney I'll put him down under, Sydney That's bae, I'll donate both my kidneys True love, what the kid needs And a girl from the Westest Indies I know dem man talk on the kid, but  It's hard to hate on the truth I'm livin' in Nuff man hate with the lies instead Countin' cash with the phone to my ear I feel like Meek on the private jet Life or death, five-five Eyes, thighs, potential wifey Industry, respected highly In the street, protected  In this world that I'm in How you wanna take pics with the belts in the ring But don't help in the gym? Nuff girls datin' their biggest haters, how her boyfriend don't want her to win? Like, rah And why my girlfriend never wanna see me have a good time out if she ain't there? Yeah, yeah (Fly-fly me to the moon) Fly me to the moon, let me get some space Seein' them stars on her private story I dust that chick, she got no grace (Let me see what spring is like on Jupiter, Jupiter) See her ex man, she got no taste, hip dip, she got no waist Body snatched, servin' face (In other words, hold my hand) Haha, hold my hand, personal trainer Frequent flyer, bad, she toned and tan (In other words, darlin', kiss me) Free my gang, 013's and 020's Oh God knows, I miss my bros I just got a call from jail on the phone and that might  Fill my heart with song And let me sing forevermore You are all I long for All I worship and adore In other words, please be true In other words, I love you In other words, I love you"
